ITEM,Year, Apr.,May, June, July,Aug.,Sept.,Oct.,Nov.,Dec.,Jan.,Feb. ,Mar. ,Yr.Avg.
Wire Rod 8mm,2013-14,45940,46115,46025,45590,44890,45325,45410,45170,45170,45345,46110,45940,45586
Rounds 12mm,2013-14,45330,45855,45770,45330,44630,45245,45330,45440,45440,45825,46560,46560,45610
TMT 10 mm,2013-14,47010,47465,47450,47345,46380,47345,47430,47660,47960,48135,48660,48310,47596
Plates 10mm,2013-14,49395,49445,49420,49370,49320,49470,49545,49470,49370,49705,49820,49920,49521
HR Coils 2.00 mm,2013-14,48745,48795,48710,48720,48670,48875,49070,49020,48995,49120,49290,49320,48944
CR Coils 0.63mm,2013-14,52980,52780,52580,52580,51900,52400,53180,52780,52840,53540,53780,54980,53027
GP Sheets 0.63mm,2013-14,53680,54280,53680,53680,53680,54130,54760,55240,54670,55030,55780,58180,54733
Wire Rod 8mm,2014-15,42000,40500,42000,44000,43500,43350,45000,42900,43125,41925,40550,39900,42396
Rounds 12mm,2014-15,43500,42500,44200,44000,43500,43650,44000,40000,39000,40000,39750,40250,42029
TMT 10 mm,2014-15,44500,43500,47600,46000,45500,45200,47075,44367,42542,42375,41775,41017,44288
Plates 10mm,2014-15,46000,45000,44000,43000,42500,42500,44500,42738,41500,40750,39500,38950,42578
HR Coils 2.00 mm,2014-15,46000,45500,45500,44500,43800,43500,44500,43500,42433,41167,40333,39667,43367
CR Coils 0.63mm,2014-15,52500,50000,52000,51000,50000,50782,51000,49200,49000,42500,47100,45000,49174
GP Sheets 0.63mm,2014-15,57500,54550,56000,55500,55500,54550,54275,53000,53167,52925,51350,50275,54049
Wire Rod 8mm,2015-16,40650,39500,38750,36000,36600,37000,35750,NA,NA,NA,NA,NA,NA
Rounds 12mm,2015-16,40250,37750,38200,36600,34150,37250,35575,NA,NA,NA,NA,NA,NA
TMT 10 mm,2015-16,42538,40075,40534,38188,36275,38750,35625,NA,NA,NA,NA,NA,NA
Plates 10mm,2015-16,40100,38267,36375,34850,33550,34725,35000,NA,NA,NA,NA,NA,NA
HR Coils 2.00 mm,2015-16,39100,40667,37438,36125,34250,34563,35675,NA,NA,NA,NA,NA,NA
CR Coils 0.63mm,2015-16,44533,44500,42000,40717,39750,40300,40825,NA,NA,NA,NA,NA,NA
GP Sheets 0.63mm,2015-16,49767,48350,49150,46783,43500,44233,44867,NA,NA,NA,NA,NA,NA
